0,0,1,Hans Pakes,2
1,1,2,Bagwant Dhaliwal,3
2,2,3,Clark Webster,2
3,3,4,Mukhtar Galab,4
4,4,5,Hani al Hallak,3
5,5,6,Jamal Kalifa,2
6,6,7,Ralph Goode,1
7,7,8,Abul Hassan Salman,1
8,8,9,Clark Adams,1
9,9,10,Vincent Cortez,1
10,10,11,Arnaldo Gueterrez,1
11,11,12,Ben Hassine,1
12,12,13,Ahmed Yassin,1
13,13,14,Wallace Wilson,1
14,14,15,Karm Bensaid,1
15,15,16,Carl Louis,1
16,16,17,Abdelhak Kherbane,1
17,17,18,Mark Davis,2
18,18,19,Hamid Alwan,1
19,19,20,Alwan,1
20,20,21,Abdulla Ramzi,1
21,21,22,Abdul Ramazi,5
22,22,23,Faysal Goba,3
23,23,24,Yasein Mosed,2
24,24,25,Masood Yaser,2
25,25,26,Omar Clark,1
26,26,27,Joseph Nizar,1
27,27,28,Shiela Watson,2
28,28,29,Steven Clark,1
29,29,30,Tawfiq al Adel,3
30,30,31,Saeed Khallad,2
31,31,32,Riduan bin Attash,1
32,32,33,Saleh al Ahdal,1
33,33,34,Jelte Nijboer,1
34,34,35,al Ahdal,1
35,35,36,bin Attash,1
36,36,37,Saeed Khaliad,1
37,37,38,Jamil Musawi,1
38,38,39,Ziad al Shibh,1
39,39,40,Muhammad Shamzi,1
40,40,41,Vincent Lozario,1
41,41,42,Khalfan Maulid,1
42,42,43,Abu al Masri,2
43,43,44,Abdul al Hada,1
44,44,45,Sahim Albakri,1
45,45,46,Muhammed bin Harazi,1
46,46,47,Omar Bakri Qatada,1
47,47,48,Qatada,1
48,48,49,Richard Reid,1
49,153,1,703-659-2317,4
50,154,2,804-774-8920,4
51,155,3,804-759-6302,4
52,156,4,718-352-8479,3
53,157,5,01 1207670734,2
54,158,6,732-455-6392,1
55,159,7,706-437-6673,1
56,160,8,713-556-9213,1
57,161,9,703-734-0104,1
58,162,10,1070173,2
