0,153,1,703-659-2317,4
1,154,2,804-774-8920,4
2,155,3,804-759-6302,4
3,156,4,718-352-8479,3
4,157,5,01 1207670734,2
5,158,6,732-455-6392,1
6,159,7,706-437-6673,1
7,160,8,713-556-9213,1
8,161,9,703-734-0104,1
9,162,10,1070173,2
10,209,1,Sprint,3
11,210,2,FBI,25
12,211,3,US Post Office,1
13,212,4,INS,3
14,213,5,Bush Intercontinental Airport,1
15,214,6,Continental Airlines,1
16,215,7,Reagan National Airport,1
17,216,8,The Powhatan Company,1
18,217,9,Pentagon,1
19,218,10,Home Depot,1
20,219,11,American Airlines,3
21,220,12,Border Patrol,1
22,221,13,University of Texas,1
23,222,14,Apex Paper Products Company,1
24,223,15,Aryan Nations,1
25,224,16,Army CID,1
26,225,17,Ryder Truck Rental,1
27,226,18,Budget Storage Units,2
28,227,19,Beth Israel,1
29,228,20,Coast Guard,1
30,229,21,Passport Agency,1
31,230,22,AMTRAK,1
32,231,23,Penn Station NYC,1
33,232,24,U-haul,1
34,233,25,First Union Bank,2
35,234,26,Virginia National Bank,1
36,235,27,United Connector,1
37,236,28,United,1
38,237,29,Empire State Vending Services,2
39,238,30,New York Stock Exchange,2
40,239,31,University of Virginia,1
41,240,32,City Computer Services Corp.,1
42,241,33,Clark & Co,1
43,242,34,Office Supplies Co.,1
44,243,35,Select Gourmet Foods,1
45,244,36,First Union National Bank,1
46,245,37,Pyramid Bank of Cairo,1
47,246,38,Central Bank of Dubai,1
48,247,39,CIA,9
49,248,40,Sealink Container Corp.,1
50,249,41,Al Qaeda,3
51,250,42,Taliban,2
52,251,43,Marvel Corporation,1
53,252,44,German Intelligence,1
54,253,45,American Diplomatic Mission Headquarters,1
55,254,46,British Special Branch,1
56,255,47,M15,1
